"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C2";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C3";"2.2uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C4";"4.7uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C5";"10nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C6";"100pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C7";"22uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C8";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C9";"1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C10";"10uF 10V";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C11";"10uF 10V";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C12";"4.7uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C13";"10uF 10V";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C14";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C15";"1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C16";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C17";"27pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C18";"27pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C19";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C20";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C21";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"C22";"0.1uF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";"";
"D1";"MBRA140";"MBRA140";"SMA-DIODE";"40V, 1A Schottky rectifier";"DIO-08053";"";
"D2";"ZENERARRAY";"ZENERARRAY";"SOT363";"";"";"";
"D3";"ZENERARRAY";"ZENERARRAY";"SOT363";"";"";"";
"D4";"ZENERARRAY";"ZENERARRAY";"SOT363";"";"";"";
"D5";"ZENERARRAY";"ZENERARRAY";"SOT363";"";"";"";
"D6";"B340A";"DIODE-SCHOTTKY-B340A";"SMA-DIODE";"Schottky diodes in SFE's production catalog";"DIO-09886";"B340A";
"F1";"PTC0603";"PTC0603";"0603";"Resettable Fuse PTC";"";"";
"F2";"PTC0603";"PTC0603";"0603";"Resettable Fuse PTC";"";"";
"F3";"PTC0603";"PTC0603";"0603";"Resettable Fuse PTC";"";"";
"F4";"PTC0603";"PTC0603";"0603";"Resettable Fuse PTC";"";"";
"F5";"PTC0603";"PTC0603";"0603";"Resettable Fuse PTC";"";"";
"F6";"PTC0603";"PTC0603";"0603";"Resettable Fuse PTC";"";"";
"F7";"PTC0603";"PTC0603";"0603";"Resettable Fuse PTC";"";"";
"F8";"PTC0603";"PTC0603";"0603";"Resettable Fuse PTC";"";"";
"F9";"PTC0603";"PTC0603";"0603";"Resettable Fuse PTC";"";"";
"F10";"PTC0603";"PTC0603";"0603";"Resettable Fuse PTC";"";"";
"F11";"PTC0603";"PTC0603";"0603";"Resettable Fuse PTC";"";"";
"FUD1";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";"";
"FUD2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";"";
"FUD3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"";"";"";
"IC1";"LMC7101AIM5";"LMC7101AIM5";"SOT23-5";"";"";"";
"J1";"5267-4";"5267-4";"5267-4";"";"";"";
"J2";"5267-4";"5267-4";"5267-4";"";"";"";
"J3";"BATT";"JST_2MM_MALE";"JST-2-SMD";"Mates to single-cell LiPo batteries.";"CONN-08352";"";
"J5";"5267-2";"5267-2";"5267-2";"";"";"";
"JP1";"M10LOCK";"M10LOCK";"1X10_LOCK";"Header 10";"";"";
"JP2";"USB-MICROB";"USB-MICROB";"USB-MICROB";"USB Connectors";"CONN-09505";"";
"JP3";"M10LOCK";"M10LOCK";"1X10_LOCK";"Header 10";"";"";
"JP4";"M10LOCK";"M10LOCK";"1X10_LOCK";"Header 10";"";"";
"JP5";"MOT1";"M02POLAR";"MOLEX-1X2";"Standard 2-pin 0.1" header. Use with";"";"";
